date,headline,close_t_plus_2
2020-03-09,Crude Awakening: Energy Sector Takes A 20% Spill As Crude Price War Sends Oil To 4-Year Low [SEP] Investor Movement Index Summary: February 2020 [SEP] 101 Stocks Moving In Monday's Mid-Day Session,275.42999267578125
2020-03-10,"Peloton Shares Tick To Session Low As Hearing Report Apple Working On 'Guided Workout' Fitness App [SEP] Morning Market Stats In 5 Minutes [SEP] The Main Challenges Faced By The Upcoming EV Era [SEP] Jedi Wars Between Amazon And Microsoft Are Still Very Much On [SEP] Airlines Continue Suffering As Delta, American Announce Schedule Cuts, But Crude Bounces [SEP] Shares of several technology companies are trading higher as markets look to rebound from Monday's selloff. The technology sector has been highly impacted by the coronavirus due to its China exposure and sensitivity to economic conditions. [SEP] UBS Maintains Buy on Apple, Lowers Price Target to $335 [SEP] 123 Biggest Movers From Yesterday",248.22999572753903
2020-03-11,"CME To Shut Down Chicago Trading Floor Over Coronavirus Concerns [SEP] Here's How Large Option Traders Are Playing High-Yield AT&T As Market Falls [SEP] Apple To Close All Italy Stores Until Further Notice [SEP] Despite Volatility, FANG Continues to Prove Its Popularity [SEP] UPDATE: BofA Securities On Apple Notes 'We reiterate Buy on large cash balance/optionality, expected new buyback authorization in April and upcoming 5G cycle' [SEP] UPDATE: BofA Securities Reiterates Buy On Apple, Lowers Target To $320 As Firm Notes 'Lowering estimates on weaker global demand, some delay in product launches' [SEP] BofA Lowers Apple Price Target Due To Potential Delay In Product Launches [SEP] As Market Gyrates, Investors Seek Direction From Large Stocks Including Apple, Microsoft [SEP] Only Technology Can Save And Lead The Automotive Industry Forward [SEP] Coronavirus – Another Severe Hit To The Automotive Industry [SEP] B of A Securities Reiterates Buy on Apple, Lowers Price Target to $320 [SEP] Hearing B of A Securities Maintains Buy On Apple, Lowers Target From $350 to $320 [SEP] Shares of several companies in the technology, software and semiconductor space are trading lower as equities sell off amid coronavirus fears. The virus spread has disrupted economic activity across sectors and caused global macro uncertainty. [SEP] Google Asks All North American Employees To Work From Home As Coronavirus Spreads",277.9700012207031
2020-03-12,"Selling Picks Up In Worst Day Since 1987 As Fear Continues To Drive Markets Lower [SEP] Financial Pro Says Trump 'Solidified' Fears Of Economic Slowdown [SEP] E-Commerce Is Among The Lucky Ones With The Tools To Amortize The Coronavirus Blow [SEP] Technical Pro: Apple A 'Great Company,' Not A 'Great Stock' Right Now [SEP] Shares of several technology, software and semiconductor companies are trading lower as equities sell off amid continued global coronavirus concerns. The virus has caused global economic disruption and negatively impacted stocks across sectors.",242.2100067138672
2020-03-13,"Canopy Growth's Storz & Bickel Bypasses Apple's Vaping App Ban With New Web App [SEP] 88 Stocks Moving In Friday's Mid-Day Session [SEP] VirnetX Receives ~$454M Payment In Apple Suit [SEP] Apple's Worldwide Developers Conference 2020 To Be Held In Online Format [SEP] Regulators Aiming To Break Of Big Tech Are Receiving ""Help"" From COVID-19 [SEP] Apple Gets Upgrade, Futures Reverse Downward Course As Washington Stimulus Awaited [SEP] Oracle Might Not Challenge Cloud Providers But Investors Are Pleased [SEP] Apple shares are trading higher after Wells Fargo upgraded the stock from Equal-Weight to Overweight and announced a $315 price target. NOTE: The overall market is also rebounding from Thursday's crash. [SEP] Apple Reopens All China Stores As Coronavirus Cases Drop In Country [SEP] Apple Still Looks to Ship 90M AirPods in 2020 [SEP] Wells Fargo Upgrades Apple to Overweight, Announces $315 Price Target",252.8600006103516
2020-03-16,"McDonald's Switches To 'Walk-In-Take-Out' Model In All Company-Owned Restaurants Due To Coronavirus [SEP] Amazon Hiring 100,000 Workers To Meet Increased Demand As Coronavirus Forces Social Distancing [SEP] Apple Analyst Says 'Uncertainty Remains Too High' To Buy The Dip [SEP] 95 Stocks Moving In Monday's Mid-Day Session [SEP] 5 Reasons Why Amazon Is Morgan Stanley's Top Pick [SEP] Banks, Airlines, Apple Among Stocks Being Hit Hard Despite Fed Cutting Rates To Zero [SEP] 22 Stocks Moving in Monday's Pre-Market Session [SEP] Apple shares are trading lower following a report suggesting the company was fined €1.1B by the French Competition Authority for anti-competitive behavior in its distribution network. [SEP] Apple Fined €1.1B byFrench Competition Authority for Anti-competitive Behaviour in Its Distribution Network [SEP] 144 Biggest Movers From Friday [SEP] Walmart Shortens Store Operating Hours In Response To Coronavirus Outbreak",246.6699981689453
2020-03-17,"UPDATE: Apple Previously Announced Closing Of Retail Locations Til Mar. 27, Now Says 'Until Further Notice' [SEP] Hearing Apple To Close All Retail Stores Until Further Notice [SEP] Apple shares are trading higher as tech stocks rebound following Monday's crash. Morgan Stanley analysts today maintained an overweight rating on the stock. [SEP] Trump Says Will Expand Medicare Telehealth Service Offers, Working With Skype, Apple For FaceTime [SEP] Jefferies Reiterates Buy on Apple, Lowers Price Target to $320 [SEP] 10 Biggest Price Target Changes For Tuesday [SEP] Morgan Stanley Maintains Overweight on Apple, Lowers Price Target to $328 [SEP] A Peek Into The Markets: US Stock Futures Gain Ahead Of Economic Reports [SEP] Apple Hit With $1.2B Fine By French Antitrust Authorities [SEP] 110 Biggest Movers From Yesterday [SEP] So-Called 'MAGA' Stocks Lose $1T Market Value In A Single Day [SEP] NBCUniversal Releases Movies On-Demand Same Time As Theaters Due To Coronavirus",244.77999877929688
2020-03-18,"Oil Giants Persist In Paradoxical Behavior, But They Can Afford It [SEP] Travel, Airline Stocks In Focus Amid Fresh Weakness; Amazon To Hire 100,000 Workers [SEP] Shares of several technology, software and semiconductor companies are trading lower as equities sell off amid continued global coronavirus concerns. The virus has caused global economic disruption and negatively impacted stocks across sectors. [SEP] Apple Unveils New iPad Pro And New MacBook Air",229.2400054931641
2020-03-19,"Will Big Tech Come To The Rescue Against COVID-19? [SEP] Canaccord Genuity Maintains Buy on Apple, Lowers Price Target to $300",224.3699951171875
2020-03-20,"Shares of several technology companies are trading higher. Market strength has been attributed to strong containment measures taken by California, rebound in oil, central bank actions and expectations of increased technology usage amid the virus outbreak. [SEP] Apple Limits Online iPhone Purchases To Two After Closing All Stores Outside China",246.8800048828125
